範囲,種類,論点名,答え
1.機関,条文番号,株主有限責任,104条
1.機関,条文番号,機関設計の自由,326条2項
1.機関,条文番号,機関設計自由の原則の例外,"327条、328条"
1.機関,条文番号,大会社の機関設計,328条
1.機関,条文番号,公開会社である監査役会設置会社の社外取締役の設置強制,327条の2
1.機関,条文番号,所有と経営の分離,"326条1項（非公開会社の場合は331条2項本文も可能）"
1.機関,条文番号,株主総会,295条〜
1.機関,条文番号,株主招集通知,299条
1.機関,条文番号,株主提案権（議題提案権・303条、議案提案権・304条、議案の要領の通知請求権・305条）,303条〜305条
1.機関,条文番号,議決権,308条
1.機関,条文番号,一株一議決権の原則,308条1項
1.機関,条文番号,相互保有株式,308条1項本文かっこ書
1.機関,条文番号,議決権の代理行使,310条
1.機関,条文番号,書面投票・電子投票,"298条1項3号4号、311条、312条"
1.機関,条文番号,議決権の不統一行使,313条
1.機関,条文番号,株主総会決議の省略（cf. 取締役会決議の省略: cf. 370条）,319条
1.機関,条文番号,利益供与,120条
1.機関,条文番号,利益供与の刑事罰,970条
1.機関,条文番号,取締役等の説明義務,314条
1.機関,条文番号,株主総会の特別決議,309条2項
1.機関,条文番号,取締役会設置会社の株主総会は議題以外決議できない,309条5項
1.機関,条文番号,総会決議取消の訴え,831条1項
1.機関,条文番号,裁量棄却,831条2項
1.機関,条文番号,総会決議不存在確認の訴え,830条1項
1.機関,条文番号,総会決議無効確認の訴え,830条2項
1.機関,条文番号,総会決議取消の訴えの容認判決の効力,"838条（対世効）、839条参照（将来効阻止）"
1.機関,条文番号,種類株主に損害を及ぼすおそれ,"322条、324条2項"
1.機関,条文番号,取締役の選任,"329条1項、341条"
1.機関,条文番号,累積投票による取締役選任,342条
1.機関,条文番号,取締役（役員）の解任 とくれば,"339条、854条"
1.機関,条文番号,取締役会非設置会社の業務執行の意思決定,348条1項2項
1.機関,条文番号,取締役会非設置会社の業務執行,348条1項
1.機関,条文番号,取締役会非設置会社の代表権,349条
1.機関,条文番号,取締役会非設置会社の全取締役での意思決定,348条3項
1.機関,条文番号,取締役会設置会社の業務執行の意思決定,362条2項1号
1.機関,条文番号,取締役会設置会社の業務執行,363条1項1号
1.機関,条文番号,取締役会設置会社の代表権,"349条1項ただし書き、4項"
1.機関,条文番号,取締役会の専決事項,362条4項
1.機関,条文番号,包括的不可制限的代表権,349条4項5項
1.機関,条文番号,取締役会の招集通知,368条
1.機関,条文番号,特別利害関係取締役（cf. 特別利害関係株主: 831条1項3号）,369条2項
1.機関,条文番号,役会議事録に異議をとどめないものは賛成したものと推定,369条5項
1.機関,条文番号,取締役会決議の省略（cf. 株主総会決議の省略: cf. 319条）,370条
1.機関,条文番号,特別取締役による取締役会決議,373条
1.機関,条文番号,監査役の取締役会への出席義務・意見陳述義務,383条1項
1.機関,条文番号,代表取締役（第3かっこ書）,47条1項
1.機関,条文番号,取締役会設置会社の業務執行権者,363条
1.機関,条文番号,代表権の包括的不可制限性,349条4項5項
1.機関,条文番号,「重要な財産の処分・譲受け」,362条4項1号
1.機関,条文番号,「多額の借財」,362条4項2号
1.機関,条文番号,代理権の濫用,民法107条
1.機関,条文番号,表見代表取締役,354条
1.機関,条文番号,「登記」とくれば,"908条、911条3項"
1.機関,条文番号,変更登記,915条
1.機関,条文番号,支配人の登記,918条
1.機関,条文番号,不実の登記,908条2項
1.機関,条文番号,社外取締役の設置義務,"331条6項、400条1項3項、327条の2"
1.機関,条文番号,業務の執行の社外取締役への委託,348条の2
1.機関,条文番号,監査役とくれば何条？,329条〜と381条〜
1.機関,条文番号,監査役の会計監査権,436条
1.機関,条文番号,監査役による取締役の行為の差止め,385条
1.機関,条文番号,監査役の報酬,387条
1.機関,条文番号,会計監査限定監査役,389条
1.機関,条文番号,監査役設置会社,2条9号
1.機関,条文番号,監査役会とくれば何条？,390条〜
1.機関,条文番号,監査役が独任性である根拠,390条2項柱書ただし書き参照
1.機関,条文番号,社外監査役の定義,2条16号
1.機関,条文番号,監査役会議事録に異議をとどめないものは賛成したものと推定,393条4項
1.機関,条文番号,会計参与とくれば何条？,329条〜と374条〜
1.機関,条文番号,善管注意義務,"330条、民法644条"
1.機関,条文番号,忠実義務,355条
1.機関,条文番号,会計監査人とくれば何条？,329条〜と396条〜
1.機関,条文番号,会計監査人が役員でない根拠条文,329条1項参照
1.機関,条文番号,指名委員会等設置会社,400条〜
1.機関,条文番号,指名委員会等設置会社の取締役会,416条
1.機関,条文番号,執行役への業務執行決定権限の大幅な委任,416条4項
1.機関,条文番号,執行役の権限,418条
1.機関,条文番号,代表執行役の代表権,"420条3項、349条4項5項"
1.機関,条文番号,指名委員会等の権限,404条〜
1.機関,条文番号,監査委員による執行役等の行為の差止め,407条
1.機関,条文番号,執行役の忠実義務・競業避止義務・利益相反取引規制,"419条2項、355条、356条、365条1項2項"
1.機関,条文番号,株主による執行役の行為の差止め,422条
1.機関,条文番号,監査等委員会設置会社,399条の2〜
1.機関,条文番号,監査等委員会設置会社の取締役会,399条の13
1.機関,条文番号,監査等委員による取締役の行為の差止め,399条の6
1.機関,条文番号,取締役の善管注意義務,"330条、民法644条"
1.機関,条文番号,執行役の善管注意義務,"402条、民法644条"
1.機関,条文番号,取締役の忠実義務,355条
1.機関,条文番号,執行役の忠実義務,"419条2項、355条"
1.機関,条文番号,取締役の競業取引,"356条1項1号、365条、423条1項、423条2項（任意撤意推定規定）"
1.機関,条文番号,取締役の利益相反取引,"356条1項2号3号、365条、423条1項、423条2項（損害額の推定規定）、428条（無過失責任）"
1.機関,条文番号,取締役の報酬等の決定,361条
1.機関,条文番号,役員等の会社に対する損害賠償責任,423条
1.機関,条文番号,全部免除,424条
1.機関,条文番号,一部免除,425条〜427条
1.機関,条文番号,役員等の連帯責任,430条
1.機関,条文番号,株主による責任追及等の訴え（株主代表訴訟）,847条
1.機関,条文番号,旧株主による責任追及等の訴え,847条の2
1.機関,条文番号,最終完全親会社等の株主による特定責任追及の訴え,847条の3
1.機関,条文番号,役員等の第三者に対する責任,429条
1.機関,条文番号,補償契約,430条の2
1.機関,条文番号,役員等賠償責任保険契約,430条の3
1.機関,条文番号,会計帳簿閲覧請求,433条
1.機関,条文番号,業務検査役の選任,358条
1.機関,条文番号,取締役・執行役の行為差止請求,"360条、385条、399条の6、407条、422条"
2.株式,条文番号,株主有限責任,104条
2.株式,条文番号,「株主の権利」の条文,105条
2.株式,条文番号,種類株式,"108条1項、2項"
2.株式,条文番号,定款変更（原則）,"466条、309条2項11号"
2.株式,条文番号,種類株主の損害を及ぼすおそれある場合,"322条、324条2項"
2.株式,条文番号,株式の内容についての特別の定め,"107条1項、107条2項"
2.株式,条文番号,公開会社を非公開会社に（全ての株式を譲渡制限株式に）,"309条3項、107条1項1号"
2.株式,条文番号,全ての株式を取得条項付株式に,110条
2.株式,条文番号,株主平等原則,109条1項
2.株式,条文番号,非公開会社における属人的な権利の定め,109条2項
2.株式,条文番号,株券の資格授与的効力,131条1項
2.株式,条文番号,株券の善意取得,131条2項
2.株式,条文番号,株式譲渡自由の原則,127条
2.株式,条文番号,権利の譲渡制限,"35条、50条2項、63条2項、208条4項"
2.株式,条文番号,株券発行前の株式譲渡の制限,128条2項
2.株式,条文番号,株券の発行（遅滞なく）,215条1項
2.株式,条文番号,定款による譲渡制限,"107条1項1号、108条1項4号"
2.株式,条文番号,譲渡承認請求,"136条、138条1号、137条、138条2号"
2.株式,条文番号,譲渡承認機関,139条
2.株式,条文番号,自己株式の取得・取得手続規制,155条〜
2.株式,条文番号,自己株式の取得・財源規制,461条
2.株式,条文番号,特定の株主からの自己株式の取得・取得手続規制（原則）,160条
2.株式,条文番号,特定の株主からの自己株式の取得・取得手続規制（例外）,161条〜165条
2.株式,条文番号,461条（財源）違反の場合の責任,462条
2.株式,条文番号,子会社による親会社株式の原則的取得禁止,135条
2.株式,条文番号,基準日（特に124条4項が重要）,124条
2.株式,条文番号,名義書換の確定的効力,130条
2.株式,条文番号,（自己）株式の消却,178条
2.株式,条文番号,株式の併合,180条〜
2.株式,条文番号,株式の分割（特に184条2項は重要）,183条〜
2.株式,条文番号,株式無償割当,185条〜
2.株式,条文番号,単元株式制度,188条〜
2.株式,条文番号,全部取得条項付種類株式の取得,171条
2.株式,条文番号,特別支配株主の株式等売渡請求,179条〜
2.株式,条文番号,瑕疵渡株式等取得無効の訴え,846条の2〜
3.設立,条文番号,設立,25条〜
3.設立,条文番号,設立登記,49条
3.設立,条文番号,定款の絶対的記載・記録事項,"27条、37条"
3.設立,条文番号,変態設立事項とくれば…,"28条、33条"
3.設立,条文番号,現物出資,28条1号
3.設立,条文番号,財産引受,28条2号
3.設立,条文番号,事後設立,467条1項5号
3.設立,条文番号,設立時取締役等による調査,"46条、93条"
3.設立,条文番号,発起人等による不足額填補責任,"52条、103条1項"
3.設立,条文番号,募集設立（57条以下は募集設立のみ）,57条〜
3.設立,条文番号,全額払込・全部給付,"34条、63条"
3.設立,条文番号,預金の刑事罰規定,965条
3.設立,条文番号,発起人等の任務懈怠責任,53条
3.設立,条文番号,会社不成立の場合の発起人の責任,56条
3.設立,条文番号,擬似発起人の責任,103条4項
3.設立,条文番号,払込取扱機関の払込金保管証明責任,64条2項
3.設立,条文番号,出資の履行を仮装した場合の責任等,52条の2
3.設立,条文番号,払込みを仮装した設立時募集株式の引受人の責任,102条の2
3.設立,条文番号,会社設立の無効の訴え,"828条1項1号、2項1号"
3.設立,条文番号,会社設立の無効の訴え・対世効,838条
3.設立,条文番号,会社設立の無効の訴え・将来効,839条
4.株式会社の計算等,条文番号,資本金の額の減少（決定機関・原則）,"447条1項、309条2項9号"
4.株式会社の計算等,条文番号,資本金の額の減少（決定機関・例外①）,447条3項
4.株式会社の計算等,条文番号,資本金の額の減少（決定機関・例外②）,"447条1項、309条2項9号かっこ書"
4.株式会社の計算等,条文番号,資本金の減少・債権者異議制度,449条
4.株式会社の計算等,条文番号,準備金の額の減少（決定機関・原則）,"448条1項、309条1項"
4.株式会社の計算等,条文番号,準備金の額の減少（決定機関・例外①）,448条3項
4.株式会社の計算等,条文番号,準備金の額の減少（決定機関・例外②）,"459条1項2号（460条参照）"
4.株式会社の計算等,条文番号,準備金の減少・債権者異議制度（原則）,449条1項
4.株式会社の計算等,条文番号,準備金の減少・債権者異議制度（例外①）,449条1項柱書本文第2かっこ書き
4.株式会社の計算等,条文番号,準備金の減少・債権者異議制度（例外②）,449条1項柱書ただし書
4.株式会社の計算等,条文番号,資本金の額の増加,450条
4.株式会社の計算等,条文番号,準備金の額の増加,451条
4.株式会社の計算等,条文番号,資本金の減少無効の訴え,"828条1項5号、2項5号"
4.株式会社の計算等,条文番号,資本金の減少無効の訴え・対世効,838条
4.株式会社の計算等,条文番号,資本金の減少無効の訴え・将来効,839条
4.株式会社の計算等,条文番号,剰余金の配当・決定機関（原則）,454条1項
4.株式会社の計算等,条文番号,剰余金の配当・決定機関（例外①）,"454条4項、309条2項10号"
4.株式会社の計算等,条文番号,剰余金の配当・決定機関（例外②）,454条5項
4.株式会社の計算等,条文番号,剰余金の配当・決定機関（例外③）,"459条1項4号、460条"
4.株式会社の計算等,条文番号,剰余金の配当・純資産額規制,458条
4.株式会社の計算等,条文番号,剰余金の配当・財源規制（分配可能額規制）,461条1項8号
4.株式会社の計算等,条文番号,違法な剰余金の配当に関する責任,"462条、463条"
4.株式会社の計算等,条文番号,事後の欠損填補責任,465条
5.持分会社,条文番号,持分会社,575条〜
5.持分会社,条文番号,「社員の個性重視」の根拠①（無限責任）,580条1項
5.持分会社,条文番号,cf. 有限責任,580条2項
5.持分会社,条文番号,「社員の個性重視」の根拠②（各社員の業務執行権）,590条1項
5.持分会社,条文番号,「社員の個性重視」の根拠②（一代表権）,599条1項
5.持分会社,条文番号,持分の譲渡,"585条1項2項、586条1項"
5.持分会社,条文番号,「管理」（業務執行・競業避止・利益相反……）,590条〜
5.持分会社,条文番号,任意退社,"606条、612条"
5.持分会社,条文番号,退社に伴う持分の払戻し,611条
5.持分会社,条文番号,計算等,614条〜
5.持分会社,条文番号,合同会社の計算等に関する特則,625条〜
6.事業譲渡,条文番号,事業譲渡等（事業の全部の譲渡・事業の重要な一部の譲渡・支配権を失う子会社等株式の譲渡・他の会社の事業の全部の譲受け）,467条
6.事業譲渡,条文番号,競業避止義務,21条
6.事業譲渡,条文番号,株主総会の特別決議（事業譲渡等）,"467条1項、309条2項11号"
6.事業譲渡,条文番号,反対株主の株式買取請求権,469条
6.事業譲渡,条文番号,略式事業譲渡・簡易事業譲渡,468条
6.事業譲渡,条文番号,事業譲渡の第三者に対する効果,"22条、23条"
6.事業譲渡,条文番号,詐害的事業譲渡,23条の2
7.組織再編,条文番号,組織再編（吸収合併など）の定義,2条
7.組織再編,条文番号,特別支配会社,468条
7.組織再編,条文番号,4つの反対株主の株式買取請求,"116条、182条の4、469条、785条など"
7.組織再編,条文番号,債権者異議手続き,"789条1項、799条1項、810条1項、816条の8第1項"
7.組織再編,条文番号,組織再編行為の無効の訴え,"828条1項7号〜13号、同条2項7号〜13号"
7.組織再編,条文番号,株式交付,"774条の2〜、816条の2〜"
8.定款変更,条文番号,定款変更,"466条、309条2項11号"
8.定款変更,条文番号,種類株主に損害を及ぼすおそれがある場合（定款変更）,"322条1項各号、324条2項4号"
9.会社法総則,条文番号,名板貸人の責任,9条
9.会社法総則,条文番号,支配人の選任解任・取締役会非設置会社（決定機関）,"348条1項2項（取締役の決定）、特定の取締役への委任不可能（348条3項1号）"
9.会社法総則,条文番号,支配人の選任解任・取締役会設置会社（決定機関）,362条4項3号（取締役会の専決事項）
9.会社法総則,条文番号,支配人の選任解任・監査等委員会設置会社（決定機関）,399条の13第4項3号（取締役会の専決事項）
9.会社法総則,条文番号,支配人の選任解任・指名委員会等設置会社（決定機関）,"416条1項1号柱書（取締役会決議）、416条4項（執行役への委任可能）"
9.会社法総則,条文番号,支配人の代理権,11条
9.会社法総則,条文番号,支配人の競業の禁止,12条
9.会社法総則,条文番号,表見支配人,13条
9.会社法総則,条文番号,支配人の登記,918条
